cartelaId,B1,B2,B3,B4,B5,I1,I2,I3,I4,I5,N1,N2,N3,N4,N5,G1,G2,G3,G4,G5,O1,O2,O3,O4,O5
86,12,5,8,9,1,16,19,22,23,28,34,36,,42,41,55,49,54,56,57,64,71,69,74,65
87,9,14,2,11,7,30,28,25,18,16,33,34,,41,32,52,49,48,60,50,64,61,70,71,72
88,4,14,6,7,3,26,28,20,23,25,33,37,,31,34,58,50,53,57,54,67,71,63,66,62
89,7,10,15,2,6,18,26,17,22,29,35,44,,41,42,60,54,58,51,50,64,75,71,72,74
90,5,3,8,6,12,22,30,24,28,27,32,36,,39,34,46,55,54,59,48,71,64,67,65,70
91,14,4,15,12,5,27,17,24,25,29,40,36,,45,43,50,60,57,47,49,62,74,73,61,68
92,10,9,2,6,8,23,20,27,18,25,32,41,,37,35,56,60,48,59,55,69,62,66,71,67
93,7,11,4,1,6,17,24,28,27,21,43,40,,45,36,51,53,55,47,54,66,63,75,74,67
94,1,2,8,14,4,23,28,16,22,25,35,36,,31,42,56,51,50,57,58,66,63,74,61,65
95,12,8,9,6,13,19,28,20,16,23,32,37,,31,40,55,58,49,57,59,67,73,61,72,74
96,5,11,7,10,14,23,18,20,16,22,38,37,,31,43,51,50,48,46,54,72,73,62,64,61
97,10,8,5,11,9,19,21,30,25,20,37,44,,36,38,60,57,58,53,49,66,69,73,63,67
98,8,4,13,14,6,16,19,27,20,30,42,44,,37,38,53,51,56,54,48,65,70,67,63,62
99,14,3,8,5,10,20,29,19,22,24,34,37,,42,33,50,58,51,54,57,65,64,71,69,70
100,15,12,8,2,7,22,30,20,19,25,36,43,,41,32,56,54,58,47,52,63,68,72,75,69
101,7,10,4,13,3,30,17,24,18,26,32,40,,36,45,46,48,60,56,58,63,68,70,65,73
102,6,8,13,2,9,19,18,23,30,20,31,33,,40,35,50,55,58,53,46,69,68,66,73,72
103,1,12,10,2,11,19,17,29,20,21,40,45,,37,36,54,57,58,47,49,63,66,75,71,65
104,15,10,11,6,5,18,28,22,25,23,43,33,,44,42,60,51,50,58,59,64,67,74,72,75
105,7,12,14,10,5,24,29,19,28,23,31,39,,33,42,49,57,54,51,60,73,62,64,71,67
106,2,3,11,6,8,24,22,26,16,17,40,33,,41,34,56,52,53,51,50,72,71,75,70,62
107,4,13,9,1,3,23,16,20,21,18,38,35,,42,39,50,53,51,60,57,72,64,63,61,68
108,15,9,5,7,11,27,16,24,20,23,31,38,,35,33,46,47,50,54,56,61,73,75,67,65
109,14,1,11,3,9,25,22,27,19,16,40,33,,42,36,56,54,57,52,60,62,73,68,66,69
110,1,3,10,6,4,28,16,27,22,17,43,36,,40,41,57,47,49,50,46,69,63,62,64,68
111,2,5,11,12,6,17,21,25,20,16,40,33,,44,45,60,56,46,47,54,67,63,73,66,71
112,3,10,11,9,1,22,25,29,19,21,36,37,,35,45,60,56,59,46,49,74,61,67,72,66
113,8,2,4,5,13,23,30,27,28,19,37,43,,44,40,56,47,46,51,55,68,63,65,66,61
114,15,7,10,4,12,16,26,28,22,30,35,33,,32,43,50,48,57,53,59,75,71,66,70,69
115,1,2,5,9,11,22,23,30,20,26,32,38,,39,36,49,57,46,51,59,74,69,65,63,71
116,2,10,5,6,1,20,23,18,17,28,31,34,,45,33,49,56,60,59,48,70,75,61,71,64
117,9,6,8,13,11,24,21,25,19,26,45,36,,39,40,56,51,55,58,54,68,65,61,67,73
118,3,9,4,7,2,21,16,20,30,24,32,36,,39,38,51,56,54,48,50,61,63,69,62,73
119,6,9,11,4,7,29,18,25,27,22,40,43,,32,33,52,58,54,48,49,66,67,72,61,75
120,1,7,4,14,10,17,28,24,21,18,31,34,,39,41,49,54,58,48,50,71,66,61,72,63
121,3,14,9,15,8,20,19,25,28,21,44,34,,33,31,50,48,55,57,60,72,69,64,74,71
122,3,12,6,4,1,29,30,25,22,20,43,32,,36,39,51,46,50,58,47,64,74,66,75,73
123,2,6,10,5,13,23,19,21,20,24,38,35,,42,34,51,59,48,54,60,71,64,68,73,62
124,1,7,15,11,8,19,21,16,24,26,36,31,,35,38,59,51,53,58,47,68,74,75,62,66
125,14,13,4,12,15,29,22,17,21,20,41,36,,40,45,59,55,53,47,57,71,65,64,62,66
126,14,5,12,11,8,30,22,18,21,23,44,38,,34,36,49,58,53,55,46,74,68,63,61,69
127,4,2,6,14,11,16,17,18,26,30,37,35,,38,33,52,57,60,53,59,62,61,64,74,67
128,11,6,12,7,8,29,23,27,22,19,35,32,,42,34,46,56,55,47,49,70,66,65,68,72
129,4,5,1,9,7,17,24,19,27,30,39,35,,38,36,56,54,57,48,49,65,64,71,72,66
130,11,8,10,1,2,18,23,21,25,19,37,42,,45,44,49,56,50,59,53,65,69,66,73,71
131,4,10,15,11,6,23,27,22,30,19,45,35,,34,32,60,48,49,59,58,74,69,75,70,65
132,4,11,12,13,5,21,29,26,27,20,36,31,,40,44,57,48,55,46,60,66,74,71,70,65
133,2,14,7,4,12,25,17,19,20,22,43,33,,34,31,55,46,58,53,49,65,67,73,66,61
134,6,1,3,2,10,24,17,20,29,19,43,31,,34,41,48,52,57,54,59,66,68,74,65,69
135,1,9,6,14,3,20,22,30,24,23,32,37,,45,40,52,46,50,47,49,69,75,72,65,67
136,12,9,10,1,8,17,23,21,19,16,44,43,,35,42,49,59,50,51,60,67,75,72,74,66
137,6,5,13,15,12,25,22,16,29,24,39,36,,34,44,58,48,57,53,51,69,73,75,74,68
138,5,9,13,4,15,17,22,23,25,29,37,33,,38,43,58,47,55,49,57,74,66,64,69,75
139,8,13,5,14,10,18,24,16,30,25,39,34,,45,32,46,58,52,57,54,72,61,73,71,64
140,4,2,7,5,14,16,22,26,28,20,44,45,,38,40,54,60,49,47,48,63,71,75,61,70
141,5,2,11,13,3,22,17,23,16,30,35,34,,41,45,49,55,47,52,46,66,72,63,65,62
142,9,11,1,15,8,24,18,27,29,25,34,33,,37,44,57,55,48,46,59,74,66,70,61,68
143,15,3,1,4,8,25,17,22,26,21,41,45,,35,40,53,50,59,52,54,73,71,64,72,68
144,8,7,14,5,13,21,28,26,30,18,36,35,,32,44,53,60,55,56,51,65,71,63,67,74
145,12,9,15,10,6,24,25,21,17,22,42,39,,40,35,46,55,48,59,47,75,62,74,71,66
146,10,5,2,14,4,16,29,30,22,23,31,42,,39,38,46,59,48,54,55,64,63,61,62,68
147,6,14,13,4,1,22,20,30,18,29,43,42,,33,40,47,48,46,50,55,70,61,73,64,65
148,5,12,9,7,4,28,23,27,25,16,40,36,,39,32,53,54,57,49,58,70,72,64,61,67
149,12,13,11,1,2,22,28,24,30,20,42,32,,41,38,58,57,50,55,52,75,74,73,66,67
150,4,9,1,10,8,28,24,17,27,21,41,32,,35,31,56,47,52,59,46,73,69,75,72,62
151,12,1,5,9,10,17,26,27,21,19,42,44,,45,38,53,48,47,60,49,65,64,63,72,73
152,6,7,11,13,4,23,17,27,28,16,40,41,,37,43,59,52,57,55,51,63,68,62,66,65
153,13,12,9,15,7,29,20,17,25,27,38,36,,40,42,55,58,59,52,50,66,73,70,62,61
154,13,10,4,2,5,24,18,23,29,27,35,31,,40,43,55,53,59,48,47,75,63,74,66,71
155,11,4,6,15,8,18,27,25,26,22,42,41,,43,31,48,57,49,55,56,63,61,64,67,69
156,11,8,3,1,2,25,29,17,16,23,41,40,,35,39,47,59,51,48,49,61,62,71,64,69
157,8,5,15,3,9,18,26,24,28,17,43,37,,35,44,47,58,51,56,50,70,65,72,66,61
158,11,15,6,10,12,29,20,25,27,18,31,37,,43,40,56,46,53,54,48,68,70,75,65,67
159,9,14,11,15,7,25,30,26,23,21,36,35,,43,41,54,52,50,56,58,61,71,68,70,73
160,15,1,3,12,13,25,18,29,22,17,34,39,,37,31,55,57,58,48,59,72,70,68,69,63
161,13,8,15,12,10,29,17,21,27,23,34,43,,40,36,54,48,57,47,56,61,63,71,69,68
162,13,12,3,2,7,28,21,19,29,16,44,36,,33,35,52,57,60,51,56,67,73,66,74,69
163,11,13,4,2,3,23,30,17,25,24,40,36,,33,37,56,52,49,54,55,69,66,63,71,73
164,11,7,12,4,15,24,27,21,19,16,39,44,,33,34,46,50,58,56,47,72,68,62,61,75
165,4,2,14,6,15,25,23,19,27,20,35,34,,44,42,60,55,57,59,47,68,70,75,61,69
166,12,2,3,10,7,24,20,21,23,28,35,42,,36,37,51,52,59,49,60,74,63,70,72,61
167,1,6,15,9,11,23,18,25,30,17,44,40,,42,37,58,52,60,46,47,63,72,69,68,66
168,14,5,11,10,9,29,22,20,28,30,38,37,,42,41,49,52,58,46,54,62,64,61,74,70
169,5,12,11,10,14,26,29,28,30,25,45,43,,39,41,47,59,53,58,48,74,61,67,72,64
170,14,7,5,4,13,30,29,23,18,17,38,44,,35,43,55,54,46,60,52,63,65,67,68,70
171,14,5,9,7,11,19,21,30,17,24,34,36,,33,32,46,47,55,50,48,64,69,73,65,70
172,3,6,5,9,2,26,16,24,25,28,45,31,,43,33,54,53,46,51,59,64,65,70,68,61
173,5,1,11,9,13,20,28,27,21,17,44,34,,36,37,58,57,59,50,60,61,74,66,64,63
174,15,3,14,5,13,29,19,17,24,22,42,32,,34,45,59,47,48,57,46,70,61,68,62,72
175,1,9,5,3,8,23,19,24,25,28,38,42,,35,40,56,51,48,53,60,69,61,64,65,67
176,7,11,13,2,10,19,29,23,17,28,42,31,,32,44,48,46,58,60,56,67,75,66,65,73
177,9,1,10,2,15,24,18,22,26,17,37,41,,39,32,52,47,51,49,57,62,69,64,70,65
178,6,1,14,9,15,28,17,26,30,20,38,35,,32,31,58,52,53,54,55,68,69,71,66,61
179,10,11,14,4,3,30,20,18,22,17,35,45,,39,33,49,51,57,53,60,68,73,63,75,61
180,3,5,4,9,1,29,22,25,23,17,43,41,,37,38,46,53,57,59,52,63,69,67,73,75
181,14,11,3,7,4,30,18,27,25,22,38,31,,42,43,47,54,46,60,51,62,69,63,73,74
182,1,14,9,15,3,30,24,19,29,20,44,32,,36,45,53,48,57,51,50,68,74,65,69,61
183,8,4,3,6,11,23,17,16,25,22,38,35,,42,34,53,50,55,60,49,70,63,67,69,66
184,5,10,8,7,15,29,20,19,24,27,40,42,,35,36,55,48,53,54,49,70,66,69,64,68
185,4,15,6,9,13,21,17,23,28,27,33,34,,45,41,51,59,52,47,58,68,61,71,65,64
186,11,10,13,12,7,30,26,16,29,24,36,42,,33,37,60,57,58,48,51,62,64,70,71,65
187,13,5,2,12,15,24,28,20,25,18,45,40,,36,43,54,58,60,49,59,69,63,73,70,61
188,8,4,2,11,14,27,20,21,26,19,33,44,,36,37,52,49,47,50,54,67,61,63,74,75
189,10,5,4,7,1,21,23,27,25,20,38,43,,32,36,46,59,50,57,48,71,63,72,65,67
190,9,2,13,6,11,20,23,22,27,21,33,31,,43,35,47,56,53,60,51,68,61,62,63,65
191,2,1,5,13,9,19,22,20,29,18,43,34,,40,41,51,53,49,58,54,62,72,68,66,75
192,15,11,1,12,10,18,17,29,26,24,43,38,,42,45,48,49,59,46,58,68,63,70,67,62
193,6,14,13,7,15,20,30,25,18,16,43,44,,41,33,57,47,52,48,54,62,67,75,68,73
194,4,5,13,14,6,24,29,22,21,27,41,42,,38,45,56,48,53,51,46,73,62,72,66,61
195,5,7,12,3,4,17,23,20,16,26,33,38,,40,32,52,48,46,50,59,71,69,68,72,70
196,8,10,7,14,6,27,25,17,18,28,38,37,,45,41,60,59,52,46,50,69,70,64,68,65
197,10,15,13,7,12,23,30,27,16,26,38,41,,44,39,47,50,56,49,60,66,75,73,71,72
198,10,12,2,13,15,30,17,26,20,27,43,39,,37,42,47,59,48,53,49,63,73,71,70,75
199,13,9,2,3,5,18,26,21,28,23,45,43,,33,38,58,47,56,50,54,75,71,62,66,72
200,15,7,6,3,13,19,28,18,27,16,40,41,,31,43,51,53,48,57,52,70,65,66,69,72
201,12,7,6,14,8,26,28,19,17,22,34,45,,38,44,50,58,54,46,59,65,70,62,75,68
202,11,6,14,10,3,17,21,20,27,16,33,42,,31,34,60,55,53,52,59,70,69,73,71,63
203,7,12,13,9,15,27,18,19,23,26,41,31,,36,32,48,54,51,60,58,61,74,70,62,73
204,2,9,12,4,13,28,17,24,27,16,33,42,,37,44,49,53,50,54,59,63,75,73,71,68
205,2,3,13,15,14,23,19,18,21,24,32,31,,36,34,55,52,60,57,54,75,73,71,64,63
206,1,7,11,6,8,18,20,24,23,25,34,37,,32,39,51,54,48,58,46,61,74,68,65,67
207,12,3,1,5,7,18,21,27,24,16,36,32,,33,41,47,48,55,57,50,74,67,64,61,70
208,12,4,10,2,3,19,18,25,24,28,45,43,,39,41,46,54,59,53,48,62,69,66,71,72
209,2,10,11,3,1,18,28,21,20,17,44,35,,38,34,55,49,46,57,50,64,75,66,74,61
210,11,9,5,6,15,20,27,18,26,25,31,41,,40,39,50,58,57,48,52,65,64,62,69,75
211,11,2,4,8,10,28,20,30,24,21,31,42,,35,34,54,50,56,58,52,63,72,70,64,62
212,12,11,14,10,4,22,23,29,25,21,39,38,,37,34,56,59,47,57,53,67,69,66,70,73
213,3,14,4,11,10,26,29,22,21,28,44,38,,33,43,47,53,56,50,59,67,62,72,68,75
214,8,3,1,9,10,25,17,19,20,27,40,44,,31,32,57,58,56,52,54,73,63,62,68,75
215,4,5,10,9,8,18,30,26,19,20,37,39,,41,36,57,46,49,53,51,65,61,63,72,66
216,4,6,7,9,8,21,30,24,27,20,44,37,,36,32,51,60,47,58,52,71,66,67,64,70
217,3,14,7,6,15,29,18,27,22,20,34,36,,45,41,51,60,57,55,58,67,66,63,70,75
218,5,1,12,7,2,24,20,23,21,19,31,38,,45,33,51,55,60,46,49,66,69,62,74,72
219,11,14,9,8,1,23,16,24,17,29,33,32,,42,41,54,59,53,48,47,65,74,70,66,69
220,13,7,4,15,6,24,22,28,19,25,35,33,,36,31,55,49,56,51,48,72,73,68,67,75
221,7,13,5,4,15,21,25,28,17,30,44,45,,43,36,51,52,53,55,56,62,65,63,73,69
222,11,4,5,3,13,22,26,29,24,27,44,40,,45,34,58,53,54,50,47,66,75,69,74,63
223,8,1,5,14,6,25,20,27,21,23,42,35,,34,36,51,57,54,47,56,73,61,64,75,67
224,11,13,15,5,12,27,30,26,23,29,38,37,,32,34,53,52,46,49,55,65,64,61,63,71
225,12,7,15,10,3,16,24,30,22,28,32,43,,40,35,47,49,56,55,53,66,62,69,65,67
226,10,8,7,6,11,17,21,22,25,26,38,44,,34,40,58,56,55,51,54,66,67,72,74,63
227,5,14,12,1,2,27,17,30,25,23,42,39,,35,34,48,47,52,49,58,75,66,62,69,64
228,5,14,8,3,12,23,22,16,18,17,33,44,,35,36,56,53,47,58,57,68,63,71,69,72
229,4,9,11,1,12,24,27,17,23,25,42,41,,38,39,53,57,48,51,58,74,61,73,67,62
230,12,5,7,9,13,19,20,28,29,16,42,33,,41,31,51,50,54,48,49,65,71,74,68,66
231,6,9,1,15,2,24,16,27,22,20,40,37,,33,31,47,48,56,57,54,64,61,75,67,72
232,1,10,12,5,7,25,22,29,24,28,37,43,,40,39,53,54,52,56,47,63,61,75,73,70
233,14,1,9,8,12,30,24,26,28,27,35,44,,43,34,50,54,57,60,47,63,73,66,61,74
234,2,6,5,10,8,30,19,24,21,22,42,33,,35,38,56,58,49,47,48,66,64,67,74,69
235,6,12,10,15,13,28,25,18,27,26,31,45,,34,36,47,46,54,57,52,66,63,61,64,67
236,4,3,8,2,10,24,29,28,27,17,45,34,,36,33,46,58,57,53,55,65,74,64,66,63
237,3,5,15,4,12,18,16,23,22,28,43,44,,45,40,54,46,51,48,58,73,70,72,74,71
238,4,1,8,10,7,18,19,17,23,28,35,36,,45,31,50,57,55,52,46,63,66,61,64,62
239,2,6,11,14,10,23,18,19,17,20,36,34,,40,33,59,47,49,50,53,71,66,64,72,68
240,5,1,14,4,15,28,25,30,16,23,32,38,,31,44,50,54,48,53,47,73,67,63,75,70
241,3,13,2,4,7,28,19,22,17,16,31,37,,42,41,59,51,48,60,47,73,71,61,62,63
242,4,15,1,10,6,29,24,25,30,20,31,41,,38,36,54,55,46,49,47,69,63,70,75,73
243,12,8,5,9,2,30,16,24,23,17,32,37,,40,41,48,57,49,50,53,65,69,68,75,61
244,8,7,2,1,10,20,27,16,30,25,41,36,,32,35,47,56,51,59,50,72,66,67,62,64
245,12,7,13,15,1,30,21,24,25,16,32,42,,45,39,53,57,60,51,59,61,64,69,65,67
246,9,5,2,3,1,20,27,21,25,28,38,35,,36,32,53,60,48,59,52,65,69,62,68,61
247,2,1,6,8,14,26,29,30,25,16,31,35,,39,42,58,52,47,60,55,70,65,61,69,66
248,13,12,5,3,14,29,16,22,28,18,33,39,,41,42,57,55,53,56,52,61,75,66,64,74
249,1,12,15,13,2,18,23,30,29,27,36,37,,39,38,57,50,59,47,51,61,63,65,70,69
250,5,13,12,14,9,26,20,17,22,28,38,31,,45,41,50,60,47,55,48,69,66,75,61,68
251,9,5,14,7,13,17,28,22,26,30,33,45,,35,34,59,50,60,54,48,62,68,67,70,65
252,15,11,13,6,10,20,18,17,21,30,35,34,,32,41,50,53,47,48,58,66,71,61,72,69
253,15,5,11,12,9,23,16,21,29,19,37,36,,39,31,56,58,49,54,47,67,74,75,65,71
254,1,15,11,7,4,19,16,29,25,18,33,38,,35,31,60,58,53,46,54,64,66,63,74,71
255,1,4,15,2,9,23,17,30,18,16,37,39,,35,41,59,48,46,47,53,66,72,73,64,74
256,3,13,5,14,6,16,28,25,21,26,37,39,,36,38,53,51,56,54,59,69,71,70,72,74
257,14,11,2,4,1,16,21,20,17,25,39,37,,42,44,55,51,46,48,47,74,68,61,70,67
258,14,1,11,7,13,27,17,30,18,21,35,31,,39,45,56,47,60,53,55,68,69,63,74,70
259,4,1,3,13,5,28,16,24,23,19,41,39,,34,40,51,49,57,53,46,67,72,63,65,73
260,11,4,6,2,15,21,23,22,20,18,44,35,,45,36,56,53,49,48,57,65,68,67,64,69
261,6,11,12,3,15,30,22,25,17,28,37,34,,39,41,54,59,51,58,46,66,64,68,74,71
262,15,1,7,2,3,24,20,27,21,28,35,44,,37,33,58,53,60,56,52,69,68,65,72,75
263,1,7,11,14,10,19,30,22,25,23,44,40,,36,34,56,52,49,48,57,69,64,68,62,67
264,14,13,4,6,11,18,22,28,26,21,34,37,,36,38,54,57,56,51,60,74,68,70,75,71
265,3,4,10,6,11,25,18,24,29,20,37,45,,39,31,52,48,59,55,58,73,61,69,71,64
266,15,12,8,14,7,23,16,26,27,22,45,40,,31,34,48,49,52,50,57,74,66,64,73,67
267,15,9,12,8,3,29,28,19,17,21,36,38,,32,43,53,52,48,46,58,74,69,61,71,63
268,15,7,12,13,2,27,19,20,17,18,41,32,,42,36,58,49,47,59,50,75,73,66,61,74
269,1,8,5,6,2,26,17,20,28,25,42,39,,37,43,46,51,49,59,60,65,66,70,67,68
270,13,8,3,6,15,19,24,29,16,21,41,45,,40,43,53,46,56,58,52,63,61,72,64,73
271,13,8,6,10,5,18,19,28,29,22,42,44,,41,31,54,60,51,46,57,63,62,75,66,65
